tic,Dismissed,SettlementAmount,FilingYear,Dismiss
MON,Yes,#NULL!,2010,0
AAC,Ongoing,#NULL!,2015,1
AAI,Yes,#NULL!,2011,0
AAMC,Ongoing,#NULL!,2015,1
AAPL,No,16500000,2006,1
AAVL,Ongoing,#NULL!,2015,1
ABAT,No,275000,2011,1
ABGB,Ongoing,#NULL!,2015,1
ABMD,Ongoing,#NULL!,2012,1
ABPI,Ongoing,#NULL!,2013,1
ABRX,No,9150000,2005,1
ABX,Ongoing,#NULL!,2013,1
ACA,Yes,#NULL!,2007,0
ACAD,Ongoing,#NULL!,2015,1
ACAS,No,18000000,2008,1
ACCN.PK,No,3400000,2007,1
ACHN,Ongoing,#NULL!,2013,1
ACPW,Ongoing,#NULL!,2013,1
ACRX,Ongoing,#NULL!,2014,1
ACTI,Yes,#NULL!,2010,0
ACUR,No,1500000,2010,1
ACV,Yes,#NULL!,2010,0
ACXM,Yes,#NULL!,2011,0
AD,No,12500000,2006,1
ADAT,No,1900000,2005,1
ADBL,Yes,#NULL!,2005,0
ADCT,Yes,#NULL!,2010,0
ADES,Ongoing,#NULL!,2014,1
ADEX,No,#NULL!,2006,1
ADHD,Ongoing,#NULL!,2014,1
ADLR,Yes,#NULL!,2011,0
ADRX,No,8000000,2005,1
ADT,Ongoing,#NULL!,2014,1
ADUS,No,3000000,2010,1
ADVNB,No,13250000,2009,1
AEGR,Ongoing,#NULL!,2014,1
AEHI,No,450000,2010,1
AEM,Yes,#NULL!,2011,0
AERI,Ongoing,#NULL!,2015,1
AET,Yes,#NULL!,2007,0
AEYE,Ongoing,#NULL!,2015,1
AEZS,Ongoing,#NULL!,2014,1
AFAM,Yes,#NULL!,2010,0
AFFY,Ongoing,#NULL!,2013,1
AFSI,Yes,#NULL!,2014,0
AGEN,Yes,#NULL!,2006,0
AGIX,Yes,#NULL!,2005,0
AGM,Yes,#NULL!,2008,0
AGN,Ongoing,#NULL!,2014,1
AGP,No,5000000,2005,1
AH,No,14000000,2012,1
AHM,No,37250000,2007,1
AIG,No,960000000,2008,1
AKNS,No,4770000,2009,1
AKRX,Ongoing,#NULL!,2015,1
ALC,Ongoing,#NULL!,2012,1
ALD,No,#NULL!,2010,1
ALGN,Ongoing,#NULL!,2012,1
ALIFE,Yes,#NULL!,2011,0
ALLT,No,1300000,2007,1
ALMI,No,1250000,2007,1
ALTE,No,#NULL!,2013,1
ALTH,Yes,#NULL!,2011,0
ALTI,Ongoing,#NULL!,2014,1
ALV,Ongoing,#NULL!,2013,1
ALVR,Yes,#NULL!,2007,0
AMAG,Yes,#NULL!,2010,0
AMBO,Ongoing,#NULL!,2012,1
AMCN,Ongoing,#NULL!,2015,1
AMD,Ongoing,#NULL!,2014,1
AMED,No,1200000,2010,1
AMGHF,Yes,#NULL!,2008,0
AMGN,Ongoing,#NULL!,2007,1
AMKR,No,11250000,2006,1
AMPE,Ongoing,#NULL!,2015,1
AMRI,Ongoing,#NULL!,2014,1
AMRN,Ongoing,#NULL!,2013,1
AMRS,Ongoing,#NULL!,2013,1
AMSC,No,10000000,2011,1
AMT,No,14000000,2006,1
AMTD,Ongoing,#NULL!,2014,1
ANAD,Yes,#NULL!,2008,0
ANDS,Yes,#NULL!,2011,0
ANF,No,12000000,2005,1
ANFI,Ongoing,#NULL!,2015,1
ANGI,Ongoing,#NULL!,2013,1
ANR,Yes,#NULL!,2012,0
ANSI,No,3000000,2005,1
ANV,Ongoing,#NULL!,2014,1
ANW,Yes,#NULL!,2011,0
ANZBY,Yes,#NULL!,2008,0
AOB,Ongoing,#NULL!,2012,1
AOL,Yes,#NULL!,2012,0
AONE,Ongoing,#NULL!,2013,1
APC,No,12500000,2010,1
APEI,Yes,#NULL!,2010,0
APN,No,2000000,2006,1
APOL,Yes,#NULL!,2014,0
APP,No,4800000,2010,1
APPY,Ongoing,#NULL!,2015,1
APSG,No,2700000,2005,1
APWR,No,3675000,2011,1
ARA,No,37500000,2008,1
ARAY,No,13500000,2009,1
ARB,No,7000000,2008,1
ARBX,Yes,#NULL!,2005,0
ARCI,Ongoing,#NULL!,2015,1
ARCP,Ongoing,#NULL!,2014,1
ARD,Yes,#NULL!,2010,0
ARIA,Ongoing,#NULL!,2013,1
ARNA,Ongoing,#NULL!,2010,1
ARO,No,15000000,2011,1
ARTC,No,74000000,2008,1
ARTX,No,2900000,2007,1
ARUN,Ongoing,#NULL!,2013,1
ARWR,Ongoing,#NULL!,2014,1
ASGRE,No,10500000,2006,1
ASN,Yes,#NULL!,2008,0
ASPS,Ongoing,#NULL!,2014,1
AT,Ongoing,#NULL!,2013,1
ATEA,Yes,#NULL!,2006,0
ATEC,Yes,#NULL!,2010,0
ATHN,Yes,#NULL!,2010,0
ATHR,Yes,#NULL!,2011,0
ATOS,Ongoing,#NULL!,2013,1
ATPAQ,Ongoing,#NULL!,2013,1
ATRC,No,2750000,2008,1
ATSC,Yes,#NULL!,2012,0
ATSI,Yes,#NULL!,2010,0
ATYT,Yes,#NULL!,2005,0
AUTH,Yes,#NULL!,2008,0
AV,Yes,#NULL!,2005,0
AVEO,Ongoing,#NULL!,2013,1
AVID,Ongoing,#NULL!,2013,1
AVNR,Yes,#NULL!,2009,0
AVP,Ongoing,#NULL!,2011,1
AXDX,Ongoing,#NULL!,2015,1
AXE,Yes,#NULL!,2009,0
AXP,Ongoing,#NULL!,2015,1
AXST,Ongoing,#NULL!,2014,1
AXSYS,Yes,#NULL!,2010,0
AXYX,Yes,#NULL!,2005,0
AZN,Yes,#NULL!,2005,0
AZPN,Yes,#NULL!,2006,0
BA,Yes,#NULL!,2009,0
BABA,Ongoing,#NULL!,2015,1
BAC,No,2425000000,2009,1
BAH,Yes,#NULL!,2013,0
BAK,Ongoing,#NULL!,2015,1
BARE,Yes,#NULL!,2009,0
BAX,Ongoing,#NULL!,2010,1
BBC,Yes,#NULL!,2006,0
BBDC,No,3750000,2006,1
BBDSVB.T,Yes,#NULL!,2005,0
BBI,Yes,#NULL!,2005,0
BBLKF,Yes,#NULL!,2008,0
BBLU,Ongoing,#NULL!,2014,1
BBND,No,11000000,2007,1
BBRY,Ongoing,#NULL!,2013,1
BBSI,Ongoing,#NULL!,2014,1
BBX,Yes,#NULL!,2007,0
BBY,Ongoing,#NULL!,2011,1
BCGI,Yes,#NULL!,2005,0
BCOR,Yes,#NULL!,2014,0
BCS,Ongoing,#NULL!,2014,1
BCS.PR,Ongoing,#NULL!,2009,1
BCS.PRC,Yes,#NULL!,2009,0
BCS.PRD,Yes,#NULL!,2009,0
BCSI,Yes,#NULL!,2011,0
BDBD,Ongoing,#NULL!,2015,1
BDY,No,3500000,2005,1
BE,No,7500000,2005,1
BEAT,Yes,#NULL!,2010,0
BEC,No,5500000,2010,1
BEXP,Yes,#NULL!,2011,0
BGC,Ongoing,#NULL!,2013,1
BHIP,No,2750000,2006,1
BICO,No,375000,2005,1
BIDZ,No,#NULL!,2009,1
BIG,Ongoing,#NULL!,2012,1
BIIB,Yes,#NULL!,2005,0
BIOL,Ongoing,#NULL!,2013,1
BIOS,Ongoing,#NULL!,2013,1
BIVN,Yes,#NULL!,2007,0
BIZM,Ongoing,#NULL!,2014,1
BJ,Yes,#NULL!,2011,0
BK,Ongoing,#NULL!,2011,1
BKFG,Yes,#NULL!,2007,0
BKR,No,4500000,2008,1
BKS,Yes,#NULL!,2014,0
BKUNA,No,3000000,2008,1
BLOX,Ongoing,#NULL!,2014,1
BLUD,No,3900000,2009,1
BMTI,Yes,#NULL!,2011,0
BMY,No,125000000,2007,1
BNNY,Ongoing,#NULL!,2014,1
BODY,Ongoing,#NULL!,2012,1
BOL,Yes,#NULL!,2006,0
BOX,Ongoing,#NULL!,2013,1
BP,Ongoing,#NULL!,2010,1
BPAX,Yes,#NULL!,2012,0
BPI,Ongoing,#NULL!,2015,1
BPOP,No,37500000,2009,1
BPT,No,43250000,2006,1
BQI,No,10235000,2011,1
BRCD,No,160000000,2005,1
BRCM,No,160500000,2006,1
BRKS,No,7750000,2006,1
BRLC,No,10000000,2007,1
BRVO,Yes,#NULL!,2007,0
BSC,No,275000000,2008,1
BSX,Yes,#NULL!,2010,0
BTH,Ongoing,#NULL!,2012,1
BTRX,Yes,#NULL!,2005,0
BUCA,No,1600000,2005,1
BUCY,Yes,#NULL!,2010,0
BVF,Yes,#NULL!,2008,0
BWEN,No,3915000,2011,1
BWTR,No,7000000,2007,1
BX,No,85000000,2008,1
BXC,Yes,#NULL!,2010,0
BXS,No,29250000,2010,1
BZH,No,30500000,2007,1
C,No,590000000,2007,1
C.D. Cal,Yes,#NULL!,2007,0
CAAS,Ongoing,#NULL!,2011,1
CACS,No,7400000,2005,1
CAFE,Yes,#NULL!,2005,0
CAG,Yes,#NULL!,2005,0
CAGC,Yes,#NULL!,2012,0
CALL,Yes,#NULL!,2013,0
CAMT,Yes,#NULL!,2008,0
CANV,Ongoing,#NULL!,2014,1
CAO,No,10000000,2006,1
CAOLF.PK,Yes,#NULL!,2005,0
CARYF,Yes,#NULL!,2011,0
CASH,No,2100000,2010,1
CAST,Yes,#NULL!,2012,0
CBC,Yes,#NULL!,2005,0
CBDE,Ongoing,#NULL!,2014,1
CBEH,Ongoing,#NULL!,2011,1
CBEY,No,2300000,2008,1
CBF,Yes,#NULL!,2007,0
CBI,No,10500000,2006,1
CBMG,Ongoing,#NULL!,2015,1
CBR,No,3000000,2011,1
CBRX,Yes,#NULL!,2012,0
CBS,Yes,#NULL!,2008,0
CCCL,Ongoing,#NULL!,2014,1
CCCR,Ongoing,#NULL!,2014,1
CCE,Yes,#NULL!,2006,0
CCME,Ongoing,#NULL!,2011,1
CCRT,Yes,#NULL!,2008,0
CDM,No,260000,2011,1
CDNS,No,38000000,2008,1
