"","tic","act","chech","cogs","cshi","csho","dclo","dltt","dp","dvt","ebit","epsfi","epsfx","fincf","gdwl","ib","invt","ivncf","lt","ni","optvol","re","rea","tstk","prccm","SettlementAmount"
"1","AAPL",51320.5,2222,73640,922.6235,922.6235,0,0,2513.5,1261.5,41394.5,33.715,33.715,-220.5,1015.5,31479.5,921,-37096.5,48805,31479.5,36.3,82536,0,0,442.03,"$16,500,000.00"
"2","ACTI",92.938,-3.105,15.066,47.249,47.249,0,0,3.078,0,-9.631,-0.12,-0.12,-2.078,9.416,-5.715,0.883,1.662,23.264,-5.715,46.7,-346.064,0,0,2.39,"0"
"3","ADCT",1107.7,-17.4,677.2,97.2,97.2,0,650.8,61.5,0,59.9,0.63,0.78,-2.3,6.1,77.2,106.4,-152.5,1040.1,62,64.02,-918.4,0,0,10.465,"0"
"4","ARUN",455.65,30.4045,120.704,108.217,108.217,0,0,17.0825,0,-0.9825,-0.18,-0.18,24.574,45.045,-20.2295,25.5485,-72.454,162.7675,-20.2295,71,-131.0695,0,0,19.74,"0"
"5","AVID",274.915,-29.331,301.377,42.339,38.39,0,0,32.2125,0,-11.292,-0.8,-0.8,0.815,246.6975,-30.3725,110.095,-23.218,192.7845,-30.3725,43.7,-503.8545,0,86.663,8.77,"0"
"6","AXE",2342.05,-19.25,4739.85,33.041,33.041,0,821.4,33,133.4,357.05,4.525,4.7,-203.9,346.9,162.5,1031.8,-44.1,1977.65,156.5,39.05,758.95,0,0,64.66,"0"
"7","AXST",11.325,0.772,41.201,23.8,23.8,0,0,0.223,0,2.625,0.05,0.05,-1.387,0,1.1,0.534,-0.045,23.128,1.1,100,-51.712,0,0,0.145,"0"
"8","BBND",163.857,-3.357,45.791,69.687,69.687,0,0,7.306,0,-29.736,-0.46,-0.46,2.267,1.656,-31.574,11.117,21.133,46.638,-31.574,70,-164.94,0,0,2.7,"$11,000,000.00"
"9","BBRY",7056,30,8216.326,524.16,518.892,0,0,664.8105,0,1970,2.22,2.225,-149,150.561,1167.5,618,-1698,3705,1164,67.25,6739,0,179,14.4725,"0"
"10","BCSI",405.628,130.888,96.423,43.793,43.363,0,77.6885,26.9655,0,57.708,0.955,0.955,33.745,242.611,44.9515,8.072,-16.734,327.1535,44.9515,61,-818.479,0,3.829,25.05,"0"
"11","BRCD",1015.015,176.9945,720.003,452.4675,452.4675,3.9275,674.0535,195.9275,0,244.972,0.33,0.33,-183.776,1637.9585,157.0165,71.1755,-81.568,1402.8055,157.0165,51.975,127.5165,-4.325,0,5.765,"$160,000,000.00"
